# Last update: Thu, 06 Feb 2020 23:00:10 +0100
#
# IP	number of (black)lists
#
89.234.157.254	11
18.27.197.252	10
192.42.116.16	10
185.220.102.8	10
178.165.72.177	10
62.102.148.68	10
195.206.105.217	10
185.107.47.171	9
167.88.7.134	9
95.211.230.211	9
46.165.230.5	9
77.247.181.163	9
69.158.207.141	8
46.165.245.154	8
223.112.134.201	8
45.33.70.146	8
94.230.208.147	8
104.244.76.245	8
45.148.10.93	8
77.247.181.162	8
185.220.102.7	8
222.124.18.155	8
58.82.183.95	8
176.10.99.200	8
221.228.72.222	8
144.217.255.89	8
51.89.99.60	8
107.189.11.193	8
77.247.181.165	8
104.244.76.13	8
104.244.78.197	8
61.177.172.91	8
89.248.174.146	8
158.174.122.199	8
62.210.105.116	8
185.100.87.206	8
185.100.87.207	8
123.127.32.46	7
162.247.74.206	7
54.36.108.162	7
195.176.3.23	7
185.107.47.215	7
195.154.179.3	7
46.101.88.10	7
162.247.74.204	7
185.220.101.33	7
171.25.193.77	7
171.25.193.78	7
45.148.10.173	7
209.95.51.11	7
104.244.72.115	7
163.172.77.243	7
162.220.162.38	7
185.165.168.229	7
185.220.101.27	7
92.63.194.104	7
101.227.243.56	7
173.248.227.117	7
185.220.102.6	7
40.73.99.211	7
213.61.215.54	7
185.220.101.28	7
162.247.74.213	7
23.129.64.225	7
64.113.32.29	7
195.176.3.19	7
157.245.168.248	7
185.129.62.62	7
45.148.10.143	7
59.56.111.136	7
51.144.191.33	7
58.210.180.190	7
35.0.127.52	7
103.99.1.31	6
128.31.0.13	6
80.82.77.33	6
162.247.74.202	6
162.247.74.201	6
89.234.174.47	6
51.15.80.14	6
117.34.200.242	6
109.70.100.20	6
222.186.180.17	6
185.207.139.2	6
178.73.215.171	6
109.70.100.25	6
107.189.10.174	6
195.176.3.24	6
82.221.131.5	6
45.141.84.25	6
31.185.104.21	6
222.186.175.182	6
222.186.175.183	6
162.247.74.74	6
222.127.30.130	6
118.70.216.153	6
140.207.46.138	6
159.203.161.141	6
185.220.101.3	6
185.220.101.1	6
89.31.57.5	6
62.231.7.221	6
23.129.64.159	6
23.129.64.214	6
51.178.52.245	6
169.197.97.34	6
219.153.31.186	6
176.10.104.240	6
185.220.101.44	6
80.82.77.139	6
211.21.92.211	6
187.178.75.109	6
185.153.199.155	6
88.214.26.55	6
162.247.72.199	6
192.68.11.219	6
185.220.100.253	6
185.220.100.252	6
185.220.100.255	6
185.220.100.254	6
88.191.138.184	6
107.155.49.126	6
104.206.128.50	6
185.107.70.202	6
199.87.154.255	6
82.64.15.106	6
185.220.101.29	6
185.220.101.26	6
185.220.101.24	6
185.220.101.25	6
104.244.79.181	6
51.77.52.216	6
35.201.180.175	6
51.158.147.12	6
64.225.43.175	6
157.157.87.22	6
185.130.44.108	6
104.244.79.250	6
185.220.101.49	6
205.185.127.219	6
218.69.16.26	6
209.141.58.114	6
68.32.83.238	6
45.95.168.105	6
222.186.30.145	6
23.129.64.182	6
78.131.11.10	6
109.70.100.19	6
185.220.101.46	6
124.65.18.102	6
162.247.74.27	6
192.241.165.27	6
107.189.11.11	6
162.247.74.216	6
222.186.175.154	6
222.186.175.151	6
45.154.255.44	6
87.118.110.27	6
107.189.10.141	6
171.25.193.20	6
31.185.104.19	6
91.173.121.137	6
198.98.55.119	6
122.51.221.3	6
62.102.148.69	6
103.133.109.107	6
23.129.64.191	6
182.253.26.114	6
162.247.74.7	6
185.220.101.79	6
80.82.70.118	6
80.67.172.162	6
23.129.64.227	6
185.100.86.182	6
222.186.173.180	6
162.243.131.80	6
139.99.238.101	6
23.129.64.209	6
113.160.178.148	6
185.220.101.57	6
64.121.105.2	6
222.186.30.57	6
185.220.101.74	6
87.118.116.103	6
89.248.167.133	6
89.248.167.131	6
85.27.184.233	6
46.182.106.190	6
23.129.64.184	6
178.238.230.48	6
222.186.180.9	6
222.186.180.8	6
185.220.101.34	6
185.220.101.31	6
185.220.101.30	6
185.220.101.32	6
107.189.10.44	6
159.89.231.172	6
222.186.175.202	6
162.247.73.192	6
104.37.216.112	6
222.186.175.167	6
162.243.129.242	6
27.78.12.22	6
217.170.205.107	6
23.129.64.222	5
202.29.39.1	5
124.127.35.42	5
144.217.170.235	5
162.243.129.58	5
104.199.33.113	5
137.74.169.241	5
191.98.146.224	5
45.55.157.147	5
179.184.217.83	5
192.241.234.109	5
222.186.175.140	5
222.186.175.148	5
45.55.42.17	5
92.242.255.45	5
222.186.30.248	5
46.22.49.41	5
112.78.1.247	5
119.42.175.200	5
222.186.169.194	5
222.186.169.192	5
220.237.131.112	5
220.135.120.122	5
141.98.80.173	5
104.140.188.14	5
112.218.29.190	5
1.232.77.64	5
164.132.51.91	5
109.70.100.26	5
109.70.100.21	5
109.70.100.23	5
109.70.100.22	5
109.70.100.29	5
109.70.100.28	5
5.199.135.107	5
167.99.75.174	5
58.22.109.106	5
27.78.14.83	5
71.6.199.23	5
104.206.128.2	5
104.206.128.6	5
140.246.191.130	5
61.141.235.89	5
162.243.129.223	5
149.56.44.47	5
46.38.235.14	5
91.250.242.12	5
94.100.6.72	5
195.176.3.20	5
51.15.43.205	5
162.243.131.112	5
80.82.67.167	5
192.241.239.247	5
222.186.175.181	5
58.17.243.151	5
61.8.75.186	5
128.14.136.158	5
222.186.31.166	5
167.99.203.202	5
109.86.219.4	5
162.243.130.179	5
54.36.189.105	5
162.243.131.210	5
162.243.128.9	5
200.6.188.38	5
164.68.112.178	5
192.241.227.87	5
109.201.133.100	5
212.47.229.4	5
112.85.42.182	5
60.30.98.194	5
112.214.136.5	5
115.238.62.154	5
91.221.57.179	5
222.186.42.155	5
111.225.204.32	5
198.199.114.89	5
23.129.64.232	5
41.63.1.40	5
162.243.129.158	5
206.189.132.204	5
94.23.50.194	5
192.241.235.243	5
201.144.206.244	5
185.220.101.35	5
222.186.180.223	5
109.110.52.77	5
95.105.89.221	5
218.93.27.230	5
206.189.137.113	5
14.161.6.201	5
162.243.131.157	5
199.249.230.68	5
199.249.230.65	5
185.220.101.6	5
185.220.101.4	5
90.151.180.215	5
51.38.36.84	5
45.148.10.89	5
104.206.128.34	5
192.241.239.204	5
130.185.250.76	5
23.129.64.157	5
23.129.64.154	5
23.129.64.155	5
103.193.197.26	5
222.186.175.147	5
186.159.195.188	5
162.243.130.26	5
222.186.173.215	5
92.118.160.57	5
109.69.67.17	5
23.129.64.211	5
23.129.64.210	5
23.129.64.213	5
218.92.0.175	5
162.243.129.4	5
144.172.70.112	5
162.243.129.107	5
103.125.189.122	5
185.220.101.48	5
213.195.146.142	5
36.66.149.211	5
51.15.235.211	5
170.130.187.38	5
170.130.187.34	5
222.186.15.10	5
35.240.18.171	5
104.206.128.18	5
104.206.128.10	5
198.211.123.183	5
198.143.155.138	5
169.197.112.102	5
71.6.146.185	5
139.198.4.44	5
218.146.168.239	5
62.122.201.170	5
80.82.64.127	5
163.47.146.74	5
36.66.188.183	5
112.85.42.178	5
112.85.42.176	5
112.85.42.174	5
112.85.42.173	5
89.248.174.3	5
178.20.55.18	5
103.15.240.89	5
110.37.226.83	5
125.138.58.188	5
181.111.224.34	5
130.149.80.199	5
51.15.1.221	5
62.210.37.82	5
162.243.129.121	5
185.220.101.60	5
185.220.101.65	5
185.220.101.68	5
185.220.101.69	5
14.225.3.47	5
67.247.123.8	5
89.144.12.17	5
199.195.250.77	5
218.92.0.148	5
218.92.0.145	5
192.160.102.170	5
185.220.101.0	5
170.130.187.10	5
170.130.187.14	5
222.186.173.154	5
202.137.5.245	5
185.165.168.168	5
104.206.128.78	5
192.241.229.55	5
61.160.99.44	5
108.58.41.139	5
162.243.128.16	5
162.243.128.13	5
141.98.254.225	5
178.128.81.125	5
104.206.128.30	5
104.206.128.38	5
87.81.169.74	5
202.51.74.93	5
185.220.100.250	5
104.200.134.250	5
179.184.4.145	5
122.141.177.112	5
103.90.220.214	5
220.128.159.121	5
218.92.0.212	5
218.92.0.165	5
218.92.0.168	5
23.129.64.153	5
89.163.143.8	5
96.70.52.227	5
185.117.215.9	5
104.206.128.54	5
104.206.128.58	5
5.188.84.66	5
192.241.234.99	5
222.186.175.212	5
222.186.175.215	5
222.186.175.216	5
222.186.175.217	5
104.140.188.46	5
198.96.155.3	5
198.251.89.80	5
67.207.88.180	5
202.39.70.5	5
92.118.160.29	5
222.186.30.187	5
94.230.208.148	5
31.208.74.177	5
51.15.49.134	5
64.225.15.75	5
162.243.129.160	5
104.140.188.34	5
104.140.188.30	5
83.97.20.33	5
185.220.101.22	5
185.220.101.20	5
185.220.101.21	5
115.254.63.52	5
218.92.0.184	5
170.130.187.54	5
170.130.187.50	5
192.228.100.249	5
222.186.190.2	5
180.250.162.9	5
166.70.207.2	5
223.71.66.101	5
192.241.208.173	5
222.186.173.238	5
87.118.116.12	5
185.220.102.4	5
109.70.100.24	5
109.70.100.27	5
87.229.143.10	5
223.99.196.251	5
77.120.113.64	5
132.145.211.235	5
192.241.236.214	5
5.88.155.130	5
89.133.222.27	5
209.141.35.177	5
